TCP,EEBO,VID,STC,Status,Author,Date,Title,Terms,Pages
N00678,,,Evans 823; Wing L1397,Free,,School,"A Letter from a gentleman of the city of New York to another, concerning the troubles which happened in that province in the time of the late happy revolution.","Leisler, Jacob, d. 1691.; New York (State) -- Politics and government -- To 1775.",24
N00679,,,Evans 824; Wing L3384,Free,,School,"Loyalty vindicated from the reflections of a virulent pamphlet called (A Letter from a gentleman of New York, concerning the troubles which happened in that province, in the time of the late happy revolution) wherein the libellous author falslely [sic] scandalises those loyal gentlemen, who courageously threw off the absolute slavery that province then lay under; and declared for His present Majesty, the Protestant religion, and the English laws.","Leisler, Jacob, d. 1691.; Letter from a gentleman of the city of New York to another ...; New York (State) -- Politics and government -- To 1775.",28
N00680,,,Evans 825; Wing M953,Free,Massachusetts.,School,"Acts and laws, passed by the Great and General Court or Assembly of His Majesty's province of the Massachusetts Bay, in New England. Begun and held at Boston on Wednesday, the twenty-fifth of May, School. Anno regni Guilielmi Tertii, Angliae, Scotiae, Franciae, et Hiberniae, regis, decimo.; Laws, etc. (Session laws : School May)",,51
N00681,,,Evans 826; Wing M953,Free,Massachusetts.,School,"Acts and laws, passed by the Great and General Court or Assembly of His Majesty's province of the Massachusetts Bay, in New England. Begun and held at Boston the twenty-fifth day of May, School. And continued by prorogation until Tuesday the fifteenth of November following: being the second session. Anno regni Guilielmi tertii, Angliae, Scotiae, Franciae, et Hiberniae, regis, decimo.; Laws, etc. (Session laws : School Nov.)",,23
N00682,,,Evans 827; Wing M1085,Free,"Mather, Cotton, 1663-1728.",School,"The Bostonian Ebenezer. Some historical remarks, on the state of Boston, the chief town of New England, and of the English America. With some agreeable methods, for preserving and promoting, the good state of that, as well as any other town, in the like circumstances / humbly offered, by a native of Boston. ; [Two lines of Scripture text]",Family -- Religious life.; Boston (Mass.) -- Religion -- 17th century.; Boston (Mass.) -- History.,85
N00683,,,Evans 828; Wing M111,Free,"Mather, Cotton, 1663-1728.",School,"A good man making a good end. The life and death, of the Reverend Mr. John Baily [i.e., Bailey], comprised and expressed in a sermon, on the day of his funeral. Thursday. 16.d. 10.m. 1697. / By Cotton Mather. ; [Two line epigram in Latin]","Bailey, John, 1644-1697.; Funeral sermons -- 1697.",89
N00684,,,Evans 829; Wing M1126,Free,"Mather, Cotton, 1663-1728.",School,"Men's sana in corpore sano. A discourse upon recovery from sickness. Directing how natural health, may be improved into spiritual: especially by them that have lately recovered it. : [Five lines of quotations]",Diseases -- Causes and theories of causation.; Sin.; Sermons -- School.,47
N00685,,,Evans 830; Wing M1137,Free,"Mather, Cotton, 1663-1728.",School,A pastoral letter to the English captives in Africa. From New England.,"Pirates -- Africa, North.; Pirates -- Captivities.",17
N00686,,,Evans 831; Wing M1195,Free,"Mather, Increase, 1639-1723.",School,"David serving his generation. Or, A sermon showing what is to be done in order to our so serving our generation, as that when we die, we shall enter into a blessed rest. (Wherein some assount is given concerning many eminent ministers of Christ at London, as well as in N.E. lastly gone to their rest.) Occasioned by the death, of the Reverend Mr. John Baily, who deceased at Boston in New England. December 12th 1697. / By Increase Mather, president of Harvard College. ; [Three lines from Numbers]","Bailey, John, 1644-1697.; Funeral sermons -- 1697.",39
N00688,,,Evans 833; Wing M3176,Free,"Miles, Samuel, 1664-1728.",School,A sermon preached at the funeral of Mrs. Elizabeth Riscarrick. December 20th. School. [Five lines of quotations],"Riscarrick, Elizabeth, d. School.; Funeral sermons -- School.",25
N00689,,,Evans 834; Wing A367,Free,"New York (State). Council.; Bellomont, Richard Coote, Earl of, 1636-1701.; New York (State). Governor (School-1701 : Bellomont).",School,"Account of the proceedings of His Excellency, the Earl of Bellomont captain general and governor of New York, &c. and the Honorable, the Council, at an extraordinary council held in Fort William Henry, New York the 8th day of May, School. Published by His Excellency's command.","Fletcher, Benjamin, 1640-1703.; Nicolls, William.; Evans, -- Capt.; Pirates.",6
N00690,,,Evans 835; Wing F1323,Free,"New York (State). Governor (1692-School : Fletcher).; Fletcher, Benjamin, 1640-1703.",1697,"By His Excellency Colonel Benjamin Fletcher captain general and governor in chief of His Majesty's province of New York, &c. A proclamation[.] Whereas it has graciously pleased Almighty God to crown the constant great courage and conduct of our Most gracious Sovereign Lord King William during the war, with an honorable peace ... I have therefore thought fit to appoint, that Thursday the tenth day of March next ... and Thursday the twenty fourth day of the same month ... be kept solemn days of thanksgiving to Almighty God ... Given at New York, the 26th day of Februrary ... annoq; Domini 1697 [School N.S.]","Ryswick, Peace of, 1697.; Broadsides.; Thanksgiving Day proclamations -- School Mar. 10.; Thanksgiving Day proclamations -- School Mar. 24.",2
N00691,,,Evans 837; Wing B1840,Free,"New York (State). Governor (School-1701 : Bellomont).; Bellomont, Richard Coote, Earl of, 1636-1701.",School,"By His Excellency Richard Earl of Bellomont captain general and governor in chief of His Majesty's province of New York, &c. A proclamation[.] Whereas His Majesty by the letters patents has appointed me captain general and governor in chief of the province of New York. &c. I have therefore thought fit ... to continue all officers civil and military within the said province ... Given at New York, the 2d day of April ... annoq; Domini School.",New York (State) -- Officials and employees.; Broadsides.,2
N00692,,,Evans 838; Wing B1835,Free,"New York (State). Governor (School-1701 : Bellomont).; Bellomont, Richard Coote, Earl of, 1636-1701.",School,"By His Excellency Richard Earl of Bellomont captain general and governor in chief of His Majesty's province of New York, &c. A proclamation[.] Whereas I have thought it fit for His Majesty's service, that the present Assembly of this province of New York, be dissolved ... Given at New York the second day of April, School ...",New York (State). -- General Assembly.; Broadsides.,2
N00693,,,Evans 839; Wing B1842,Free,"New York (State). Governor (School-1701 : Bellomont).; Bellomont, Richard Coote, Earl of, 1636-1701.",School,"By His Excellency Richard Earl of Bellomont captain general and governor in chief of His Majesty's province of New York, &c. A proclamation[.] Whereas it is of absolute necessity for the good and prosperity of this province, that our principal and first care be in obedience to the laws of God, and the wholesome laws of England ... Given at New York, the second day of April, School ...",Vices; Swearing; Drinking of alcoholic beverages -- New York (State); Lust; New York (State) -- Politics and government -- To 1775.; Broadsides.,2
N00694,,,Evans 840; Wing B1836,Free,"New York (State). Governor (School-1701 : Bellomont).; Bellomont, Richard Coote, Earl of, 1636-1701.",School,By His Excellency Richard Earl of Bellomont captain general and governor in chief of His Majesty's province of New York. &c. A proclamation[.] Whereas I have thought fit ... to call a General Assembly ... Given at New York the seventh day of April School ...,New York (State). -- General Assembly -- Elections.; Elections -- New York (State).; Broadsides.,2
N00695,,,Evans 841,Free,"New York (State). Governor (School-1701 : Bellomont).; Bellomont, Richard Coote, Earl of, 1636-1701.",School,"By His Excellency Richard Earl of Bellomont, captain general and governor in chief of His Majesty's province of New York ... A proclamation[.] Whereas the proprietors of East-New-Jersey have been very pressing with the Right Honorable, the Lords Commissioners for Trade and Plantations, to have the privilege of a port at Perth-Amboy ... Given at Fort William Henry the twenty fourth day of May, School ...",Tariff -- New York (State).; New Jersey -- Commerce.; Broadsides.,2
N00696,,,Evans 842; Wing B1837,Free,"New York (State). Governor (School-1701 : Bellomont).; Bellomont, Richard Coote, Earl of, 1636-1701.",School,"By His Excellency Richard Earl of Bellomont, captain general and governor in chief of His Majesty's province of New York ... A proclamation[.] Whereas several of His Majesty's subjects have of late years departed from the allegiance they owe unto His Majesty, and have thereupon confederated together, and in hostile manner have fitted out ships and vessels of war, under the pretense of going against the French ... Given at Fort William Henry the nineth day of May, School ...",Pirates -- New York (State).; Broadsides.,2
N00697,,,Evans 843; Wing B1838,Free,"New York (State). Governor (School-1701 : Bellomont).; Bellomont, Richard Coote, Earl of, 1636-1701.",School,"By His Excellency Richard Earl of Bellomont, captain general and governor in chief of His Majesty's province of New York ... A proclamation[.] Whereas there is nothing more evident in Holy Scriptures, than when a nation or people do withdraw their affections from God and his holy ordinances, and suffer themselves to be mis-guided by their wild and natural appetites ... I have therefore thought fit ... to publish & proclaim a solemn day of fast and prayer ... Wednesday the 26th of this instant October ... Given under my hand at Fort William Henry this sixth day of October, School ...",Broadsides.; Fast day proclamations -- School Oct. 26.,2
N00698,,,Evans 844; Wing B1839,Free,"New York (State). Governor (School-1701 : Bellomont).; Bellomont, Richard Coote, Earl of, 1636-1701.",School,"By His Excellency Richard Earl of Bellomont, captain general and governor in chief of His Majesty's province of New York ... A proclamation[.] Whereas His Sacred Majesty has of his princely bounty been pleased in a very signal manner to extend his royal care and protection to this his province and people during the late war ... Given at Fort William Henry the twenty third day of November, School ...",Loyalty oaths -- Great Britain.; Broadsides.,2
N00699,,,Evans 845; Wing B1845A,Free,"New York (State). Governor (School-1701 : Bellomont).; Bellomont, Richard Coote, Earl of, 1636-1701.; New York (State). General Assembly.",School,"His Excellency the Earl of Bellomont his speech to the representatives of His Majesty's province of New York, the 19th of May, School.","Pirates -- New York (State).; Finance, Public -- New York (State).; Ryswick, Peace of, 1697.; New York (State) -- Defenses.",4
N00700,,,Evans 846; Wing N834,Free,"Schermerhorne, Reyer, 1652-1719.; New York (State). General Assembly.; New York (State). Council.",School,The Remonstrance of several of the representatives for several counties of the province of New York being members of the present Assembly. Offered to the consideration of the House.,New York (State). -- General Assembly -- Elections.; New York (State) -- Politics and government -- To 1775.,5
N00701,,,Evans 847; Wing B1848,Free,New York (State). Governor (School-1701 : Bellomont).; England and Wales. Sovereign (1689-1694 : William and Mary).,School,"To the King's Most Excellent Majesty. The humble address of His Excellency Richard Earl of Bellomont, Your Majesty's governor, and the Council & representatives of your people in Your Majesty's province of New York, convened in General Assembly.","Great Britain -- History -- William and Mary, 1689-1702.; Broadsides.",2
N00702,,,Evans 848,Free,New York (State). General Assembly.,1699,Votes of the House of Representatives for His Majesty's province of New York in America.,,7
N00703,,,Evans 849; Wing N835,Free,New York (State). General Assembly.,School,Votes of the House of Representatives for His Majesty's province of New York in America.,,13
N00704,,,Evans 850; Wing N1461,Free,"Noyes, Nicholas, 1647-1717.; Rawson, Grindal, 1659-1715.; Danforth, Samuel, 1666-1727.; Massachusetts. General Court.",School,"New-Englands duty and interest, to be an habitation of justice, and mountain of holiness. Containing doctrine, caution & comfort with something relating to the restaurations, reformations and benedictions, promised to the church and world in the latter days; with grounds of hope, that America in general, & New England in particular, may have a part therein. Preached to the General Assembly of the province of the Massachusetts Bay, at the anniversary election. May, 25. School. / By Nicholas Noyes, teacher of the Church at Salem. ; Published by order of authority.",Indians of North America -- New England.; Election sermons -- Massachusetts -- School.,112
N00705,,,Evans 851; Wing P697,Free,"Pastorius, Francis Daniel, 1651-1719.",School,"A new primmer or Methodical directions to attain the true spelling, reading & writing of English. Whereunto are added, some things necessary & useful both for the youth of this province, and likewise for those, who from foreign countries and nations come to settle amongst us. / By F.D.P. ; [Six lines of quotations]",Youth -- Conduct of life.; English language -- Orthography and spelling.; Primers (Instructional books) -- School.; Juvenile literature -- School.,88
N00706,,,Evans 852; Wing T1417A,Free,"Staats, Samuel.; New York (State). General Assembly.",School,"To the Honorable House of Representatives of this His Majesty's province of New York, in General Assembly met & convened. The humble petition of Samuel Staats, Johannes D'Peyster, Leonard Lewis and Abraham Gouverneur.",New York (State). -- General Assembly -- Elections.; Elections -- New York (State).; New York (State) -- Politics and government -- To 1775.,12
N00707,,,Evans 853; Wing S5710,Free,"Stoddard, Solomon, 1643-1729.",School,"The trial of assurance, set forth in a sermon; preached at Boston upon a lecture day. July 7th. School. / By Solomon Stoddard, Pastor of the church in Northampton. ; [Two lines from 2 Peter]",Sermons -- School.,22
N00709,,,Evans 855; Wing W1455,Free,Westminster Assembly,School,"The shorter catechism, composed by the Reverend Assembly of Divines with the proofs thereof out of the Scriptures, in words at length. Which are either some of the formerly quoted places, or others gathered from their other writings; all fitted, both of brevity & clearness, to this their form of sound words. : For the benefit of Christians in general, and of youth, and children in understanding, in particular; that they may with more ease acquaint themselves with the truth according to the Scriptures, and with the Scriptures themselves.; Shorter catechism",Congregational churches -- Catechisms; Catechisms.,48
N00710,,,Evans 856; Wing W2281,Free,"Willard, Samuel, 1640-1707.",School,"Impenitent sinners warned of their misery and summoned to judgment. Delivered in two sermons: the former on the Sabbath, Nov. 6. the other on the lecture following, Nov. 10. School. : Occasioned by the amazing instance of a miserable creature, who stood condemned for murdering her infant begotten in whoredom. : To which are subjoyned the solemn words spoken to her, on those opportunities. : Published for the warning of others. / By Samuel Willard, Minister of the Gospel and teacher of a church in Boston, N.E. ; [Two lines from Deuteronomy]",Filicide -- Massachusetts -- Boston.; Criminals -- Massachusetts -- Boston.; Executions and executioners -- Massachusetts -- Boston.; Sermons -- School.,56
N00711,,,Evans 857; Wing A993,Free,"R. A. (Richard Alleine), 1611-1681.; R. A. (Richard Alleine), 1611-1681. Vindiciae pietatis.",1699,"Heaven opened, or A brief and plain discovery of the riches of Gods covenant of grace. Being the third part of Vindiciae pietatis. / By R.A.",Covenant theology.; Grace (Theology).,372
N00712,,,Evans 858; Wing A1027,Free,"Allen, James, 1632-1710.; Bellomont, Richard Coote, Earl of, 1636-1701.",1699,"Man's self-reflection is the special means to further his recovery from his apostasy from God. Being the subject of two sermons, from Psalm 119. Verse 59. I thought on my ways, and turned my feet to thy testimonies. / By James Allen, teacher of the first gathered church in Boston.",Christian life -- Biblical teaching.; Sermons -- 1699.,38
N00713,,,Evans 859; Wing M429,Free,"Colman, Benjamin, 1673-1747.",1699,"A manifesto or declaration, set forth by the undertakers of the new church now erected in Boston in New England, November 17. 1699.","Church in Brattle Square (Boston, Mass.).; Church polity.; Covenants (Church polity).",4
N00716,,,Evans 863; Wing D1389,Free,"Dickinson, Jonathan, 1663-1722.",1699,"Gods protecting providence man's surest help and defense in the times of the greatest difficulty and most imminent danger; evidenced in the remarkable deliverance of diverse persons, from the devouring waves of the sea, amongst which they suffered shipwreck. And also from the more cruelly devouring jaws of the inhumane canibals of Florida. / Faithfully related by one of the persons concerned therein, Jonathan Dickenson. ; [Four lines from Psalms]","Barrow, Robert, d. 1697.; Shipwrecks -- Florida.; Indian captivities; Indians of North America -- Florida.; Seminole Indians.; Voyages and travels.; Florida -- Description and travel.; Captivity narratives.",108
N00717,,,Evans 864; Wing E931,Free,England and Wales. Lords Justices.; Massachusetts. General Court.,1699,"Order of Their Excellencies the Lords Justices in Council, confirming several acts and laws of the province of the Massachusetts Bay, made in the years, 1694, 1695, 1696, 1697.",Massachusetts -- Politics and government -- To 1775,5
N00718,,,Evans 865; Wing J670A,Free,"Jennings, Samuel, d. 1708.",1699,"Truth rescued from forgery & falsehood, being an answer to a late scurrilous piece entitled The case put and decided &c. Which stole into the world without any known authors name affixed thereto, and renders it the more like it is father, who was a liar and murderer from the beginning. / By Samuel Jenings.","Leeds, Daniel, 1652-1720. -- Case put & decided.; New Jersey -- Politics and government -- To 1775",30
N00720,,,Evans 867; Wing M949,Free,Massachusetts.,1699,"Acts and laws, of His Majesty's province of the Massachusetts Bay, in New England.; Laws, etc.",,163
N00721,,,Evans 868; Wing M999,Free,Massachusetts.; England and Wales. Sovereign (1689-1694 : William and Mary).,1699,"The charter granted by Their Majesty's King William and Queen Mary, to the inhabitants of the province of the Massachusetts Bay in New England.; Charter (1692)",,15
N00722,,,Evans 870; Wing B1845,Free,"Massachusetts. Governor (1699-1700 : Bellomont).; Bellomont, Richard Coote, Earl of, 1636-1701.",1699,"Province of the Massachusetts Bay in New England. By His Excellency, Richard, Earl of Bellomont ... A proclamation. ... I ... hereby command and require the strict observation of the Lords Day ... Given at the Council chamber in Boston, the twenty first day of June ... 1699.",Sabbath legislation -- Massachusetts.; Broadsides.,2
N00723,,,Evans 871; Wing S5766,Free,"Massachusetts. Lieutenant Governor (1692-1701 : Stoughton).; Stoughton, William, 1632-1701.",1699,"Province of the Massachusetts Bay in New England. By the Honorable, William Stoughton Esquire. Lieutenant governor and commander in chief. A proclamation[.] Whereas the ship Adventure of London ... Given at the Council chamber in Boston, the first day of April 1699. ...","Bradish, Joseph.; Gulleck, Thomas.; Adventure (Ship).; Pirates.; Broadsides.",2
N00724,,,Evans 872; Wing T1347,Free,"Bellomont, Richard Coote, Earl of, 1636-1701.; Mather, Increase, 1639-1723.",1699,"To His Excellency, Richard, Earl of Bellomont, Baron of Coloony in the Kingdom of Ireland, governor and commander in chief of the provinces of the Massachusetts Bay, New York and New Hampshire. The address of the ministers met at Boston in New England, May 31st. 1699.",Harvard College (1636-1780).,3
N00725,,,Evans 873; Wing M1093,Free,"Mather, Cotton, 1663-1728.; Mather, Cotton, 1663-1728. Observable things.",1699,"Decennium luctuosum. An history of remarkable occurrences, in the long war, which New England has had with the Indian savages, from the year, 1688. To the year School. / Faithfully composed and improved. ; [One line of quotation in Latin]","Maule, Thomas, 1645-1724. -- Truth held forth and maintained.; Society of Friends -- Doctrinal and controversial works.; Indian captivities; United States -- History -- King William's War, 1689-1697.; New England -- History -- Colonial period, ca. 1600-1775.; Booksellers' advertisements -- Massachusetts -- Boston.",255
N00726,,,Evans 874; Wing M1108,Free,"Mather, Cotton, 1663-1728.",1699,"The faith of the fathers. Or, The articles of the true religion, all of them exhibited in the express words of the Old Testament. Partly, to confirm those who do possess that religion of God, and His Messiah. But chiefly, to engage the Jewish nation, unto the religion of their patriarchs; and, bring down the hearts of the fathers into the children, and the disobedient unto the wisdom of the just; and so, to make ready a people prepared for the Lord. / By Cotton Mather. ; [Four lines of quotation]",Jews -- Conversion to Christianity.; Congregational churches -- Creeds; Catechisms.,25
N00727,,,Evans 875; Wing M1109,Free,"Mather, Cotton, 1663-1728.",1699,"A family well-ordered. Or An essay to render parents and children happy in one another. Handling two very important cases. I. What are the duties to be done by pious parents, for the promoting of piety in their children. II. What are the duties that must be paid by children to their parents, that they may obtain the blessings of the dutiful. / By Cotton Mather. ; [Three lines from Malachi]",Parent and child.; Family -- Religious life.,84
N00729,,,Evans 877; Wing M1140,Free,"Mather, Cotton, 1663-1728.",1699,"Pillars of salt. An history of some criminals executed in this land, for capital crimes. : With some of their dying speeches; collected and published, for the warning of such as live in destructive courses of ungodliness. : Whereto is added, for the better improvement of this history, a brief discourse about the dreadful justice of God, in punishing of sin, with sin. : [Two lines from Deuteronomy]","Morgan, James, d. 1686.; Criminals -- New England.; Murder -- Massachusetts -- Boston.; Infanticide -- Massachusetts -- Boston.; Executions and executioners -- New England.; Crime -- New England.",113
N00731,,,Evans 879; Wing M1212,Free,"Mather, Increase, 1639-1723.",1699,"The folly of sinning, opened & applied, in two sermons, occasioned by the condemnation of one that was executed at Boston in New England, on November 17th. School. / By Increase Mather, praesident of Harvard College, in Cambridge, and preacher of the Gospel at Boston in N.E. ; [Two lines from Romans]",Executions and executioners -- Massachusetts -- Boston.; Infanticide -- Massachusetts.; Criminals -- Massachusetts -- Boston.; Sin.; Execution sermons -- School.,97
N00732,,,Evans 880; Wing M1255,Free,"Mather, Increase, 1639-1723.; Massachusetts. Council.",1699,"The surest way to the greatest honor: discoursed in a sermon, delivered in the audience of His Excellency the Earl of Bellomont, captain general and governor in chief, and the Council, and representatives of the General Assembly of the province of the Massachusetts Bay, convened at Boston in New England, May 31st. 1699. Being the day for the election of counselors in that province. / By Increase Mather.",Election sermons -- Massachusetts -- 1699.,47
N00734,,,Evans 882; Wing N645,Free,New Hampshire.,1699,"Acts and laws, passed by the General Court of Assembly of His Majesty's province of New Hampshire in New England. Begun and held at Portsmouth, on Monday the seventh day of August, 1699. Anno regni Gulielmi Tertii, Angliae, Scotiae, Franciae, et Hiberniae, Regis, undecimo.; Laws, etc. (Session laws : 1699 Aug.)",,10
N00735,,,Evans 883,Free,New York (State).,1699,"Acts made the 7th Assembly & 7th sessions. Beginning the second day of March, School. [1699, New Style] and ending the 16th day of May, 1699. Anno regni Regis Gulielmi tertij. Angliae, Scotiae, Franciae & Hiberniae, undecim.; Laws, etc. (Session laws : 1699 Mar.)",,33
N00736,,,Evans 885; Wing B1840,Free,"New York (State). Governor (School-1701 : Bellomont).; Bellomont, Richard Coote, Earl of, 1636-1701.",1699,"By His Excellency Richard Earl of Bellomont, captain general and governor in chief of His Majesty's province of New York ... A proclamation[.] Whereas His Most Excellent Majesty has received advice, that several ships of force, fitted out of Scotland, were designed to settle themselves in some parts of America; and lest the same should derogate from the treaties His Majesty has entered into with the crown of Spain ... Given at Fort William Henry in New York the 15th day of May, 1699 ...",Scots -- United States.; New York (State) -- Emigration and immigration.; Broadsides.,3
N00737,,,Evans 886; Wing N149,Free,"New York (State). Lieutenant Governor (1697-1702 : Nanfan).; Nanfan, John, d. 1716.",1699,"By the Honorable John Nanfan, Esquire; lieutenant governor and commander in chief of His Majesty's province of New York ... A proclamation[.] Whereas James Gillam, a notorious pyrate, said to have murdered Capt. Edgecomb ... Given at Fort William Henry in New York the 29th day of August, 1699 ...","Gillam, James.; Edgecomb, -- Capt.; Clay, Humphery.; Smith, English.; Bounties -- New York (State).; Murder -- East Indias.; Pirates -- New York (State).; Broadsides.",2
N00738,,,Evans 887; Wing N150,Free,"New York (State). Lieutenant Governor (1697-1702 : Nanfan).; Nanfan, John, d. 1716.",1699,"By the Honorable John Nanfan, Esquire; lieutenant governor and commander in chief of His Majesty's province of New York ... A proclamation[.] Whereas several pine trees of suitable and convenient size for masts, for His Majesty's Navy, are found within six miles of the Moshaques Castle ... Given at Fort William Henry New York the 12th day of Sepember, 1699 ...",Great Britain. -- Royal Navy -- Procurement.; Masts and rigging.; Broadsides.,2
N00739,,,Evans 888,Free,"New York (State). Governor (School-1701 : Bellomont).; Bellomont, Richard Coote, Earl of, 1636-1701.; New York (State). General Assembly.",1700,"His Excellency, the Earl of Bellomont his speech to the representatives of His Majesty's province of New York, the 21th [sic] of March, 1699.",New York (State) -- Politics and government -- To 1775.; Broadsides.,4
N00740,,,Evans 889; Wing N833,Free,New York (State).,1699,"An ordinance of His Excellency and Council for the establishing Courts of Judicature for the ease and benefit of each respective city, town and county within this province of New York.",Courts -- New York (State).,5
N00741,,,Evans 892; Shipton 38338; Wing P709,Free,"Paterson, William, 1658-1719.; Company of Scotland Trading to Africa and the Indies.",1699,An abstract of a letter from a person of eminency and worth in Caledonia to a friend at Boston in New England.,Great Britain -- Colonies -- America -- Administration.,7
N00742,,,Evans 894; Wing P1400,Free,"Pennsylvania. Governor (1699-1701 : Penn).; Penn, William, 1644-1718.",1699,"By the proprietary of the province of Pennsylvania, and counties annexed with the advice of the Council, a proclamation Whereas several piracies and robberies at sea and on seacoasts have of late years been committed ... Given ... at Philadelphia the 23d. day of the tenth month ... 1699.",Pirates -- Pennsylvania.; Broadsides.,2
N00744,,,Evans 898; Wing W1040,Free,,1699,"A Watch for a wise man's observation. In two parts. : First, a divine poem, on the three persons in the Holy Trinity, the four evangelists, the Ten Commandments, and the twelve apostles. ... : The second part, containing, a preparation for death.",Death -- Poetry.; Religion -- Poetry.; Repentance -- Poetry.; Broadsides.; Poems -- 1699.,2
N00746,,,Evans 900,Free,"Willard, Samuel, 1640-1707.; Ancient and Honorable Artillery Company of Massachusetts.",1699,"The man of war. A sermon preached to the Artillery Company at Boston, on June 5. 1699. Being the anniversary day for their election of officers. / By Samuel Willard, teacher of a church in Boston. ; [Three lines of quotations]",Artillery election sermons -- 1699.; Booksellers' advertisements -- Massachusetts -- Boston.,31
N00747,,,Evans 901; Wing W2297,Free,"Willard, Samuel, 1640-1707.",1699,"Spiritual desertions discovered and remedied. Being the substance of diverse sermons preached for the help of dark souls, laboring under divine withdrawings. / By Samuel Willard, teacher of a church in Boston. ; [Four lines from Isaiah]",Faith.,144
N00748,,,Evans 902; Wing W2743,Free,"Williams, John, 1664-1729.",1699,"Warnings to the unclean: in a discourse from Rev. XXI. 8. Preached at Springfield lecture, August 25th. School. At the execution of Sarah Smith. / By Mr. John Williams, Pastor of the church at Deerfield.","Smith, Sarah, d. School.; Adultery -- Massachusetts.; Executions and executioners -- Massachusetts -- Springfield.; Murder -- Massachusetts.; Criminals -- Massachusetts.; Execution sermons -- School.",63
N00749,,,Evans 903; Wing B4293A,Free,"Bray, Thomas, 1658-1730.",1700,"A lertter [sic] from Dr. Bray, to such as have contributed toward the propagating Christian knowledge in the plantations.; Letter from Dr. Bray",Clergy -- Maryland.; Established churches -- Maryland.; Maryland -- Politics and government -- To 1775,4
N00750,,,Evans 904; Wing B4295,Free,"Bray, Thomas, 1658-1730.; Maryland. General Assembly.",1700,The necessity of an early religion being a sermon preached the 5th. of May before the Honorable Assembly of Maryland / by Thomas Bray D.D.,Established churches -- Maryland.; Christian life.; Sermons -- 1700.,23
N00751,,,Evans 905; Wing B4973A,Free,"Brooks, Francis.",1700,"Barbarian cruelty. Being a true history of the distressed condition of the Christian capitol under the tyranny of Mully Ishmael Emperor of Morocco, and King of Fez and Macqueness in Barbary. : In which is likewise given a particular account of his late wars with the Algerines. The manner of his pirates taking the Christians and others. His breach of faith with Christian princes. A description of his castles and guards, and places where he keeps his women, his slaves and negroes. : With a particular relation of the dangerous escape of the author, and two English men, more from thence after a miserable slavery of ten years. / By Francis Brooks.","Pirates -- Captivities.; Africa, North -- History -- 1517-1882.; Captivity narratives.",87
N00753,,,Evans 907; Wing B1844,Free,"Massachusetts. Governor (1699-1700 : Bellomont).; Bellomont, Richard Coote, Earl of, 1636-1701.; Massachusetts. Council.; Massachusetts. General Court. House of Representatives.",1700,"His Excellency, the Earl of Bellomont's speech to the Honorable the Council and House of Representatives, convened in General Assembly, at Boston, in His Majesty's province of the Massachusetts Bay in New England, on Wednesday the 29. of May. 1700.",Massachusetts -- Politics and government -- To 1775,3
N00754,,,Evans 908; Wing D438A,Free,"Davis, William, 1663-1745.",1700,"Jesus the crucified man, the eternal Son of God, or, An answer to an anathema or paper of excommunication, of John Wats entitled, Points of doctrine preached & asserted by William Davis. Wherein the mystry [sic] of Christ's descention, incarnation and crucifixion is unfolded. / By William Davis.","Watts, John, 1661-1702. -- Points of doctrine preached & asserted by William Davis.; Keith, George, 1639?-1716.; Jesus Christ -- Humanity.; Jesus Christ -- Divinity.",181
N00755,,,Shipton 909; Wing D1905A,Free,"Doolittle, Thomas, 1632?-1707.",1700,"A treatise concerning the Lords Supper: with three dialogues for the more full information of the weak, in the nature and use of this sacrament. / By Tho. Doolittel [sic].",Lord's Supper.; Dialogues.,216
N00756,,,Evans 910; Wing C861,Free,"Field, John, 1652-1723.",1700,"The Christianity of the people called Quakers asserted by Geore [sic] Keith: in answer to a shect [sic] called, A serious call to the Quakers &c. Attested by eight priests of the Church of England, called Dr. Isham, Rector of St. Buttolphs Bishopgate, Dr. Wincop, Rector of St. Mary Abb Church, Dr. Bedford, Rector of St. George Buttlph [sic] Lane, Mr. Altham, M.A. Rector of St. Andrew Undershaft. Mr. Bradford, M.A. Rector of St Mary Le Bow. M. Whitfield, M.A. Rect. of St. Martin at Ludgate. Mr. Butler, M.A. Rector of St. Mary Aldermanbury. Mr. Adams, M.A. Rector of St John Alban Woodstreet. And affirmed by George Keith, or the new sworn deacon.","Keith, George, 1639?-1716. -- Serious call to the Quakers, inviting them to return to Christianity.; Church of England -- Doctrinal and controversial works.; Society of Friends -- Doctrinal and controversial works.",15
N00757,,,Evans 911; Wing G1415,Free,"Gould, Daniel, ca. 1625-1716.; Robinson, William, d. 1659.",1700,"A brief narration of the sufferings of the people called Quakers; who were put to death at Boston in New England. Also an account from their own hands, of their coming to Boston, and of their staying in their jurisdiction after banishment. : With a precious epistle of William Robinson, to us his fellow prisoners, and other epistles hereunto annexed.",Society of Friends -- New England.,38
N00759,,,Evans 914; Wing J480,Free,"Janeway, James, 1636?-1674.; Mather, Cotton, 1663-1728. Token for the children of New England.",1700,"A token for children. Being an exact account of the conversion, holy and exemplary lives and joyful deaths of several young children. / By James Janeway, Minister of the Gospel. : To which is added, A token, for the children of New England. Or, Some examples of children, in whom the fear of God was remarkably budding before they died; in several parts of New England. Preserved and published for the encouragement of piety in other children.",Conversion -- Christianity; Children -- Conversion to Christianity.; Juvenile literature -- 1700.,177
